DATE,MGDP_logdiff_pred,MGDP_level_pred
1991-01-01,,
1991-02-01,-0.002191792873161482,346292.0
1991-03-01,-0.0005434329098230946,346103.86465489055
1991-04-01,-0.0009053673916345072,345790.6553078727
1991-05-01,-0.0001650566079513122,345733.5849852928
1991-06-01,-8.533818077635482e-05,345704.0819690017
1991-07-01,-0.001292320712020018,345257.60997828125
1991-08-01,-0.0004607089562677163,345098.58334045566
1991-09-01,-0.00020324985847118497,345028.4492298486
1991-10-01,0.0021563208464784336,345773.2439871913
1991-11-01,-0.0008329715687114246,345485.3446283655
1991-12-01,-8.720686846797428e-05,345455.21724703524
1992-01-01,-0.00032082045392548496,345344.4059236471
1992-02-01,7.261793875697503e-05,345369.4850331521
1992-03-01,-9.903679118010238e-05,345335.2824412683
1992-04-01,-0.002397124878195116,344508.46203621465
1992-05-01,-0.0009612532717812681,344177.4612632013
1992-06-01,0.0018059021318037297,344799.57364217733
1992-07-01,-0.0010567968802199115,344435.3830001129
1992-08-01,0.004459849548261906,345974.943539726
1992-09-01,0.001342370954863427,346439.68211103743
1992-10-01,0.0015231479754771367,346967.763082106
1992-11-01,0.0040900862657570125,348389.79730345705
1992-12-01,0.002062895913966262,349109.23099606275
1993-01-01,0.050077912102866474,367037.03953781904
1993-02-01,-0.03254076801759517,355285.60960699385
1993-03-01,-0.012548164015287914,350855.28187668393
1993-04-01,0.002142626999008664,351607.8398139484
1993-05-01,0.0030654481961907313,352687.32914625836
1993-06-01,-0.0007570419221444341,352420.4310919404
1993-07-01,0.003168717295271672,353538.92296354123
1993-08-01,0.003281640292598557,354701.01628137054
1993-09-01,0.0026653419990101818,355647.67682378134
1993-10-01,0.003054370692606109,356735.6173057277
1993-11-01,-0.0017644178506753313,356106.7415775119
1993-12-01,0.005496190088327031,358069.36044355534
1994-01-01,0.005646261316943205,360096.83205311204
1994-02-01,0.0016538132738119762,360692.8576955295
1994-03-01,0.0025020056770857263,361596.4431898134
1994-04-01,-0.0001564122228966961,361539.8895093013
1994-05-01,0.007310615737751436,364192.65356995806
1994-06-01,0.0019695105554083945,364910.64165583526
1994-07-01,0.0034056222598825895,366155.5080290516
1994-08-01,0.0034010885546439814,367402.9554737653
1994-09-01,0.0032464187213408846,368597.6374764485
1994-10-01,0.0022145094566468015,369414.80490888853
1994-11-01,0.0014057340232649332,369934.4690380451
1994-12-01,0.0007168903982444173,370199.76659014996
1995-01-01,-0.0004170962979231728,370045.3898352377
1995-02-01,0.001139570101229599,370467.3228630625
1995-03-01,0.004410106387575271,372104.7310884119
1995-04-01,0.0008527020711787869,372422.16088059335
1995-05-01,0.0008985286658572092,372756.9432511995
1995-06-01,0.00034966392177725007,372887.30569604004
1995-07-01,0.004446634229776548,374549.091091163
1995-08-01,0.0018633544106899554,375247.6594301411
1995-09-01,0.00477578083979213,377044.04617257364
1995-10-01,-0.0017846264743507304,376371.7634509783
1995-11-01,0.006286688274544369,378745.34858055017
1995-12-01,-0.0013446840066568858,378236.39803323813
1996-01-01,0.003032053532152482,379384.9714279564
1996-02-01,0.002812307787682985,380453.42043716426
1996-03-01,0.0008291950209061594,380769.02134834655
1996-04-01,-0.00010784955224458558,380727.95779426827
1996-05-01,-7.3763811105061866e-06,380725.14941011
1996-06-01,0.0031815794567652067,381938.38570457255
1996-07-01,-6.566099461472602e-06,381935.8778673772
1996-08-01,0.0001701693198930801,382000.87716624304
1996-09-01,0.009018336657029469,385461.47062397166
1996-10-01,0.00011277528836270172,385504.94360376685
1996-11-01,0.011673681590318011,390031.57539058285
1996-12-01,0.002071969375253583,390840.54666261125
1997-01-01,0.0073147105775820025,393709.9136441612
1997-02-01,0.0051336839396370305,395736.29284951865
1997-03-01,0.003407718572431815,397087.1511296305
1997-04-01,0.0025144268883971178,398086.8540527177
1997-05-01,0.0030425071517383782,399299.8805383315
1997-06-01,0.0056734162659182975,401571.7134085928
1997-07-01,0.004915354958000478,403550.44000893884
1997-08-01,0.0010759149974701506,403984.85963696986
1997-09-01,0.002541376299332583,405012.84287738503
1997-10-01,0.005945493827934036,407428.0168213615
1997-11-01,0.005138137419363701,409526.8253260891
1997-12-01,0.003903454073504769,411128.5185147754
1998-01-01,-0.0016655301092243584,410444.34150529123
1998-02-01,0.00415962671496076,412155.1925372181
1998-03-01,0.004832795226000002,414151.8750768124
1998-04-01,-0.02480600681962151,404004.79542115063
1998-05-01,0.01572609402029242,410408.4329483986
1998-06-01,0.015171697889353707,416682.49947849184
1998-07-01,0.008466751677129649,420225.42409647594
1998-08-01,0.0019169994765514363,421031.7686486093
1998-09-01,-0.007067189145319583,418066.74702838314
1998-10-01,0.09037184261646529,457608.00999839493
1998-11-01,-0.34876678379567344,322868.8360741141
1998-12-01,0.26501899681413454,420845.236695313
1999-01-01,0.003219485209652868,422202.32510123745
1999-02-01,0.00010060386005055418,422244.80242152035
1999-03-01,0.003309921168305599,423644.714953253
1999-04-01,0.00018059903556816504,423721.23168941354
1999-05-01,0.002531136786838551,424795.0865497596
1999-06-01,0.0021011989385368596,425688.6039348615
1999-07-01,0.005421334752507447,428002.6713564843
1999-08-01,0.006294588719079364,430705.26909045794
1999-09-01,0.0044468914080503,432624.8335350401
1999-10-01,-0.004401432956282667,430724.84873018565
1999-11-01,-0.02089456046354276,421818.41438129114
1999-12-01,0.039592879075113066,438854.4472379087
2000-01-01,0.008459929338806611,442582.8737268269
2000-02-01,-0.002802009257198609,441344.48821164557
2000-03-01,0.006670883833340948,444298.48796300555
2000-04-01,0.0018542250746494,445123.0816148718
