DATE,MGDP_logdiff_pred
1991-01-01,0.000806565338280052
1991-02-01,0.0012335722567513585
1991-03-01,0.001099615590646863
1991-04-01,-0.00021700050274375826
1991-05-01,-0.00043165276292711496
1991-06-01,-0.0005071089253760874
1991-07-01,-0.001307241152971983
1991-08-01,-0.001077458611689508
1991-09-01,0.00042842025868594646
1991-10-01,0.00020598850096575916
1991-11-01,0.00047696626279503107
1991-12-01,0.000553187623154372
1992-01-01,3.926118370145559e-05
1992-02-01,-0.0001800443569663912
1992-03-01,-0.00020645612676162273
1992-04-01,-0.0006289654993452132
1992-05-01,-0.0007953096646815538
1992-06-01,-0.0001282009616261348
1992-07-01,0.002156223403289914
1992-08-01,0.0002772907027974725
1992-09-01,0.0023119093384593725
1992-10-01,0.0033200152684003115
1992-11-01,0.002773053478449583
1992-12-01,0.001583061763085425
1993-01-01,0.00019550549041014165
1993-02-01,0.0021698372438549995
1993-03-01,0.0026236374396830797
1993-04-01,0.0015885235043242574
1993-05-01,0.0014377773040905595
1993-06-01,0.0014247322687879205
1993-07-01,0.002826860174536705
1993-08-01,0.0016347623895853758
1993-09-01,0.004654077347368002
1993-10-01,0.002203074051067233
1993-11-01,0.0017583903390914202
1993-12-01,0.0028246790170669556
1994-01-01,0.0028785811737179756
1994-02-01,0.0035252473317086697
1994-03-01,0.0033982517197728157
1994-04-01,0.001948547433130443
1994-05-01,0.0033129360526800156
1994-06-01,0.0038622303400188684
1994-07-01,0.0034724839497357607
1994-08-01,0.0027557574212551117
1994-09-01,0.00382488826289773
1994-10-01,0.0021689324639737606
1994-11-01,0.001449023955501616
1994-12-01,0.000719177711289376
1995-01-01,0.0015698580536991358
1995-02-01,0.001296901609748602
1995-03-01,0.0022658202797174454
1995-04-01,0.00035885258694179356
1995-05-01,0.0007743353489786386
1995-06-01,0.0009677066700533032
1995-07-01,0.0030610605608671904
1995-08-01,0.003004173282533884
1995-09-01,0.005020535551011562
1995-10-01,0.0006511894171126187
1995-11-01,0.0013888003304600716
1995-12-01,0.0011173879029229283
1996-01-01,0.0024895372334867716
1996-02-01,0.0021023224107921124
1996-03-01,0.0020816968753933907
1996-04-01,0.0009895166149362922
1996-05-01,0.0008508551400154829
1996-06-01,0.0012259817449375987
1996-07-01,0.003307964885607362
1996-08-01,0.00181602465454489
1996-09-01,0.004057950805872679
1996-10-01,0.004469259176403284
1996-11-01,0.005890137981623411
1996-12-01,0.003499029902741313
1997-01-01,0.005058406386524439
1997-02-01,0.005571736488491297
1997-03-01,0.005225970409810543
1997-04-01,0.004460830707103014
1997-05-01,0.003108955454081297
1997-06-01,0.0036605647765100002
1997-07-01,0.003062388626858592
1997-08-01,0.0034928617533296347
1997-09-01,0.0019773959647864103
1997-10-01,0.006258366629481316
1997-11-01,0.004742266610264778
1997-12-01,0.003986452240496874
1998-01-01,0.0008103152504190803
1998-02-01,0.0028212950564920902
1998-03-01,0.0036952814552932978
1998-04-01,0.0015104403719305992
1998-05-01,0.0024182063061743975
1998-06-01,0.002163138473406434
1998-07-01,0.0012179340701550245
1998-08-01,0.0007428465178236365
1998-09-01,0.0013557815691456199
1998-10-01,0.002489884151145816
1998-11-01,0.002417166717350483
1998-12-01,0.001717004575766623
1999-01-01,0.0023068541195243597
1999-02-01,0.001668667420744896
1999-03-01,0.002654488431289792
1999-04-01,0.0017192893428727984
1999-05-01,0.0019944997038692236
1999-06-01,0.0010991458548232913
1999-07-01,0.004097037483006716
1999-08-01,0.006692036986351013
1999-09-01,0.005373741500079632
1999-10-01,0.005310848355293274
1999-11-01,0.0048593138344585896
1999-12-01,0.004126724321395159
2000-01-01,0.004124069586396217
2000-02-01,0.004590508993715048
2000-03-01,0.003614224959164858
2000-04-01,0.002830074168741703
2000-05-01,0.0016121739754453301
2000-06-01,0.0029202434234321117
2000-07-01,0.001789434696547687
2000-08-01,0.002289410447701812
2000-09-01,0.002293927827849984
2000-10-01,0.0014486081199720502
2000-11-01,0.0017459049122408032
2000-12-01,0.00290857651270926
2001-01-01,0.0031698730308562517
2001-02-01,0.003684299997985363
2001-03-01,0.002437683055177331
2001-04-01,0.0014443318359553814
2001-05-01,0.0012829998740926385
2001-06-01,0.001502479542978108
2001-07-01,0.001194280106574297
2001-08-01,0.0020428637508302927
2001-09-01,0.0019623178523033857
2001-10-01,0.0011284858919680119
2001-11-01,0.0009888281347230077
2001-12-01,0.0008824071264825761
2002-01-01,0.0008430571178905666
2002-02-01,0.0010145199485123158
2002-03-01,0.0009309113374911249
2002-04-01,0.001048606471158564
2002-05-01,0.002823845250532031
2002-06-01,0.0009298779768869281
2002-07-01,0.0019721505232155323
2002-08-01,0.0009821656858548522
2002-09-01,0.004177505150437355
2002-10-01,0.001775719108991325
2002-11-01,0.003038446418941021
2002-12-01,0.0028581705410033464
2003-01-01,0.0029002162627875805
2003-02-01,0.0019337800331413746
2003-03-01,0.0024364234413951635
2003-04-01,0.0034689942840486765
2003-05-01,0.0030529159121215343
2003-06-01,0.002227672841399908
2003-07-01,0.0029473546892404556
2003-08-01,0.004216100554913282
2003-09-01,0.0019753898959606886
2003-10-01,0.003219224512577057
2003-11-01,0.002166212070733309
2003-12-01,0.0029872884042561054
2004-01-01,0.0014683717163279653
2004-02-01,0.0010848239762708545
2004-03-01,0.0014281836338341236
2004-04-01,0.001897734124213457
2004-05-01,0.0020141240675002337
2004-06-01,0.0017831142758950591
2004-07-01,0.0011548021575435996
2004-08-01,0.0017082520062103868
2004-09-01,0.0008042468107305467
2004-10-01,0.0015598554164171219
2004-11-01,0.001049875863827765
