DATE,Share_Prices,CPI,Prod_Vol,Intr_Rate,Intr_10Y,Total Reserves,Exchange,Exports,Imports,^FTSE,Real GDP,M1,Unemp,Emp
11/1/94,46.80747,65.2,83.62296,8.6361,8.6361,40841.25401,1.5892,12029790000,12913950000,3086.854559,,221095,9,69.1
12/1/94,45.8941,65.5,84.46551,8.5814,8.5814,41012.66912,1.5587,11879580000,13697110000,3026.620007,,218013,8.9,69
1/1/95,45.9195,65.5,82.99105,8.7349,8.7349,40351.11203,1.5746,12397710000,13275300000,3028.271415,372307,218028,8.9,69.1
2/1/95,46.27402,65.7,83.09637,8.6557,8.6557,40828.3982,1.572,12553110000,13266420000,3051.675,,221806,8.9,69.2
3/1/95,46.67683,66,83.41232,8.5938,8.5938,42583.08807,1.6002,12684560000,13119640000,3078.23913,,233846,8.8,69.3
4/1/95,48.49855,66.4,84.04424,8.4378,8.4378,42918.34338,1.6073,12531020000,14197280000,3198.377767,373090,228208,8.8,69.4
5/1/95,49.8623,66.7,83.93891,8.1802,8.1802,42616.39769,1.5874,12638450000,13982590000,3288.314279,,232410,8.7,69.4
6/1/95,50.82117,66.8,83.41232,8.1097,8.1097,43139.65986,1.5948,12757750000,14197320000,3351.550016,,232449,8.7,69.5
7/1/95,51.9576,66.6,83.93891,8.2613,8.2613,43662.97776,1.5952,12825230000,14420060000,3426.495233,377249,236108,8.6,69.6
8/1/95,52.87438,66.9,84.04424,8.1169,8.1169,41934.59161,1.5668,12897930000,14238500000,3486.954534,,245470,8.6,69.6
9/1/95,53.59187,67.2,84.36019,7.9486,7.9486,42691.57377,1.559,13483160000,15026110000,3534.271415,,251377,8.6,69.7
10/1/95,53.55439,67.1,84.04424,8.0967,8.0967,42944.76826,1.5779,13143670000,14844480000,3531.800016,378442,247583,8.6,69.7
11/1/95,54.29002,67.1,84.46551,7.7752,7.7752,42284.50138,1.5625,13647610000,14595100000,3580.313632,,249812,8.3,69.9
12/1/95,55.33458,67.5,84.9921,7.4926,7.4926,42015.6083,1.5405,13575320000,14808170000,3650.047363,,249216,8.4,70
1/1/96,56.35791,67.4,84.57082,7.4408,7.4408,38859.0418,1.5288,13820440000,15063850000,3715.763639,380976,250562,8.3,69.9
2/1/96,56.68225,67.7,85.20274,7.7618,7.7618,39446.33473,1.536,13775390000,15243440000,3738.076218,,251192,8.2,69.9
3/1/96,56.06698,67.9,85.30806,8.057,8.057,39196.32695,1.5271,14095170000,15347480000,3697.5,,260107,8.3,69.9
4/1/96,57.5047,68.3,84.25487,8.0602,8.0602,39127.16541,1.516,14032460000,15742870000,3792.315015,382146,259556,8.3,69.9
5/1/96,56.99058,68.6,84.88678,8.0871,8.0871,39135.70898,1.5152,14056800000,15609830000,3758.409517,,259870,8.3,69.9
6/1/96,56.62075,68.7,84.36019,8.054,8.054,39132.76378,1.5416,13982150000,15901000000,3734.019995,,269749,8.2,69.9
7/1/96,56.2142,68.3,84.25487,7.9162,7.9162,42534.16672,1.553,13932830000,15441840000,3707.208708,385671,267076,8.1,70
8/1/96,58.25435,68.7,84.88678,7.8219,7.8219,42309.65478,1.5499,14112590000,15119650000,3841.752372,,263626,8.1,70
9/1/96,59.54844,69,85.41338,7.8151,7.8151,37770.70665,1.5593,14357340000,15671240000,3927.095226,,278643,8.1,70.1
10/1/96,60.97217,69.1,85.30806,7.5413,7.5413,40686.03316,1.5863,14463460000,15376750000,4020.986965,391053,268664,8,70.3
11/1/96,60.1921,69.2,85.83465,7.5952,7.5952,40280.71783,1.6623,14287670000,15388670000,3969.542864,,274377,7.8,70.3
12/1/96,61.24356,69.4,86.1506,7.5716,7.5716,39896.22086,1.6639,13997890000,15361790000,4038.88501,,271280,7.7,70.5
1/1/97,63.14247,69.2,86.1506,7.5552,7.5552,35854.57823,1.6585,14645320000,15337410000,4166.495439,397303,274230,7.5,70.6
2/1/97,65.45416,69.3,86.46656,7.1962,7.1962,35176.90374,1.6256,14441100000,15535790000,4316.564941,,277033,7.3,70.8
3/1/97,65.9578,69.4,85.20274,7.4544,7.4544,35220.89197,1.6096,14255910000,15694740000,4349.778911,,288854,7.2,70.9
4/1/97,65.39266,69.7,87.30911,7.638,7.638,35130.97485,1.6293,14366720000,15808690000,4312.509166,401790,288107,7.2,70.9
5/1/97,70.09495,70,86.99316,7.1681,7.1681,35488.83549,1.6322,14286560000,15601910000,4622.614966,,297794,7.2,71
6/1/97,70.50103,70.1,87.20379,7.1418,7.1418,35184.782,1.6449,14330140000,16020510000,4649.395229,,326303,7.3,70.9
7/1/97,73.43444,70,88.99421,7.0577,7.0577,34672.93284,1.6694,14438710000,15863420000,4842.847826,405233,331402,7.1,70.9
8/1/97,74.99184,70.3,87.94102,7.0893,7.0893,34990.03944,1.6035,14404500000,15390230000,4945.554956,,325455,6.8,71.1
9/1/97,75.97443,70.5,88.46761,6.8216,6.8216,35261.2974,1.6013,14349000000,15647760000,5010.354581,,331354,6.7,71.1
10/1/97,78.0181,70.6,89.5208,6.5109,6.5109,33444.57687,1.633,14326370000,15795000000,5145.130414,411352,327788,6.6,71.2
11/1/97,73.4858,70.6,89.62612,6.624,6.624,32946.95187,1.6889,14215640000,16034120000,4846.239941,,334472,6.5,71.2
12/1/97,77.14473,70.7,89.83675,6.3739,6.3739,32316.81533,1.6597,14530760000,16224490000,5087.538063,,327876,6.4,71.2
1/1/98,79.48843,70.4,89.83675,6.0978,6.0978,30406.71957,1.635,14106260000,15134370000,5242.095215,414377,331633,6.4,71.2
2/1/98,85.76572,70.6,90.67931,6.0461,6.0461,30504.39691,1.6408,13934620000,16136740000,5657.724927,,335391,6.4,71.3
3/1/98,88.88524,70.8,91.31122,5.992,5.992,30140.85291,1.6619,13783580000,15846460000,5861.799982,,351540,6.3,71.3
4/1/98,90.59431,71.2,91.73249,5.8249,5.8249,31206.65317,1.6723,13546050000,15331910000,5974.515039,416909,342578,6.3,71.3
5/1/98,90.02137,71.5,90.99526,5.8648,5.8648,31104.25095,1.6382,13633680000,16051450000,5936.721037,,351488,6.3,71.3
6/1/98,88.65847,71.4,91.31122,5.7743,5.7743,30927.58001,1.6504,13739360000,15796780000,5847.05451,,360803,6.3,71.4
7/1/98,90.81964,71.2,90.99526,5.8319,5.8319,31557.45944,1.6437,13471960000,15547920000,5987.204399,418294,352855,6.3,71.6
8/1/98,84.24483,71.4,91.52185,5.5706,5.5706,31595.56922,1.6342,13437020000,15575560000,5555.77002,,348770,6.2,71.6
9/1/98,78.39335,71.7,91.83781,5.151,5.151,32676.63085,1.6823,13355750000,16038330000,5171.927313,,359890,6.2,71.6
10/1/98,76.78547,71.7,91.83781,5.0114,5.0114,33721.1907,1.6944,13343960000,15540330000,5063.850009,421074,358894,6.2,71.8
11/1/98,84.8485,71.8,92.04845,4.9292,4.9292,33055.2173,1.6611,13312990000,15746940000,5595.580915,,368982,6.1,71.8
12/1/98,86.22351,72,92.3644,4.5175,4.5175,32211.54727,1.6708,13079850000,15639300000,5686.260034,,353920,6.2,71.9
1/1/99,90.61455,71.8,93.73354,4.2868,4.2868,30065.79255,1.6498,13081640000,15929800000,5975.840039,423875,359951,6.2,71.9
2/1/99,91.14444,71.9,93.83886,4.4319,4.4319,29556.64358,1.6276,13057960000,15930220000,6010.78501,,362493,6.2,71.9
3/1/99,93.53667,72.3,94.78673,4.6554,4.6554,29301.63785,1.6213,13358710000,15941320000,6168.560865,,374161,6.2,71.8
4/1/99,97.95406,72.6,94.5761,4.592,4.592,29387.77215,1.6089,13065360000,15434390000,6459.865015,425920,369023,6.1,71.8
5/1/99,95.8641,72.8,95.52396,4.9068,4.9068,29127.99162,1.6154,13334020000,15569370000,6322.036852,,372564,6,71.9
6/1/99,97.43786,72.7,95.31332,5.1716,5.1716,28912.71435,1.595,13427220000,15960450000,6425.836359,,388420,6,71.9
7/1/99,97.3925,72.4,96.26119,5.3721,5.3721,38558.10997,1.5751,13845840000,16516900000,6422.836337,432860,382941,5.9,72
8/1/99,94.17902,72.6,96.99842,5.4312,5.4312,33685.8499,1.6058,14391550000,17158870000,6210.923782,,386005,5.9,72.1
9/1/99,92.75406,72.8,97.52502,5.6909,5.6909,37976.2439,1.6247,14479290000,16732120000,6116.940962,,390568,5.8,72.1
