variable,importance
^FTSE,0.2532283
Emp,0.16359258
Unemp,0.14944999
Prod_Vol,0.08176175
Imports,0.054633643
Exports,0.053025212
Exchange,0.048597082
M1,0.03991835
Intr_10Y,0.036491334
CPI,0.034610245
Share_Prices,0.030668197
Total Reserves,0.029289652
Intr_Rate,0.0247337
