DATE,MGDP_logdiff_pred,MGDP_level_pred
1991-01-01,,
1991-02-01,0.0033431316260248423,346292.0
1991-03-01,0.0017331839771941304,346892.7081643396
1991-04-01,-0.0003852540685329586,346759.09207689815
1991-05-01,-0.0003852540685329586,346625.52745568356
1991-06-01,-0.0003852540685329586,346492.0142808721
1991-07-01,-0.0006520931492559612,346266.1428646931
1991-08-01,-0.0006520931492559612,346040.4186897044
1991-09-01,-0.0006520931492559612,345814.84165992244
1991-10-01,0.00041204746230505407,345957.3631486483
1991-11-01,0.00041204746230505407,346099.9433750924
1991-12-01,0.00041204746230505407,346242.58236346254
1992-01-01,-0.0001157464284915477,346202.50834041956
1992-02-01,-0.0001157464284915477,346162.4389555332
1992-03-01,-0.0001157464284915477,346122.3742082666
1992-04-01,-0.0005174920079298317,345943.3049832907
1992-05-01,-0.0005174920079298317,345764.3284012346
1992-06-01,-0.0005174920079298317,345585.4444141686
1992-07-01,0.001581807853654027,346132.5267597549
1992-08-01,0.001581807853654027,346680.4751692849
1992-09-01,0.001581807853654027,347229.2910137893
1992-10-01,0.002558710053563118,348118.88771626214
1992-11-01,0.002558710053563118,349010.76355334005
1992-12-01,0.002558710053563118,349904.9243641348
1993-01-01,0.0016629933379590511,350487.2980298194
1993-02-01,0.0016629933379590511,351070.64098476764
1993-03-01,0.0016629933379590511,351654.9548422422
1993-04-01,0.0014836776535958052,352177.0846809245
1993-05-01,0.0014836776535958052,352699.98976694705
1993-06-01,0.0014836776535958052,353223.67125138076
1993-07-01,0.002387118060141802,354067.86505055195
1993-08-01,0.004341464024037123,355608.3795732521
1993-09-01,0.002387118060141802,356458.27275256685
1993-10-01,0.002262047491967678,357265.51095580414
1993-11-01,0.002262047491967678,358074.5772370146
1993-12-01,0.002262047491967678,358885.47573607793
1994-01-01,0.0032673601526767015,360060.0015934635
1994-02-01,0.0032673601526767015,361238.37132607645
1994-03-01,0.0032673601526767015,362420.59751378186
1994-04-01,0.003041237825527787,363524.48248121917
1994-05-01,0.003041237825527787,364631.72973554
1994-06-01,0.003041237825527787,365742.34951782326
1994-07-01,0.0033510432112962008,366970.02378116525
1994-08-01,0.0033510432112962008,368201.81893479754
1994-09-01,0.0033510432112962008,369437.74881116516
1994-10-01,0.0014457112411037087,369972.23538103735
1994-11-01,0.0014457112411037087,370507.49522298115
1994-12-01,0.0014457112411037087,371043.52945573325
1995-01-01,0.0017108600586652756,371678.8763501438
1995-02-01,0.0017108600586652756,372315.3111645535
1995-03-01,0.0017108600586652756,372952.8357618343
1995-04-01,0.0007002981728874147,373214.1054239474
1995-05-01,0.0007002981728874147,373475.55811680807
1995-06-01,0.0007002981728874147,373737.1939686373
1995-07-01,0.003695256542414427,375120.8036016448
1995-08-01,0.003695256542414427,376509.53548538743
1995-09-01,0.003695256542414427,377903.40858291084
1995-10-01,0.0010524592362344265,378301.3458853411
1995-11-01,0.0010524592362344265,378699.7022210298
1995-12-01,0.0010524592362344265,379098.47803122445
1996-01-01,0.0022245189175009727,379942.7284445619
1996-02-01,0.0022245189175009727,380788.85899934464
1996-03-01,0.0022245189175009727,381636.87388263835
1996-04-01,0.0010221179109066725,382027.15118763037
1996-05-01,0.0010221179109066725,382417.8276059818
1996-06-01,0.0010221179109066725,382808.90354584204
1996-07-01,0.0033903976436704397,384108.9805941374
1996-08-01,0.0027290056459605694,385158.64779325214
1996-09-01,0.003062537172809243,386340.01854211185
1996-10-01,0.005760588683187962,388571.9870348037
1996-11-01,0.004048918839544058,390148.4728514816
1996-12-01,0.004048918839544058,391731.35467099317
1997-01-01,0.005285371094942093,393807.28143901343
1997-02-01,0.005285371094942093,395894.20929718076
1997-03-01,0.005285371094942093,397992.1965442687
1997-04-01,0.0037434499245136976,399484.85250069253
1997-05-01,0.0037434499245136976,400983.10661161185
1997-06-01,0.0037434499245136976,402486.9798727113
1997-07-01,0.0028442153707146645,403633.36904341256
1997-08-01,0.0028442153707146645,404783.0234331058
1997-09-01,0.0028442153707146645,405935.95234199666
1997-10-01,0.004995694849640131,407968.95839920297
1997-11-01,0.004995694849640131,410012.1461454289
1997-12-01,0.004995694849640131,412065.56657254975
1998-01-01,0.0024422972928732634,413073.18313902855
1998-02-01,0.0024422972928732634,414083.26361229166
1998-03-01,0.0024422972928732634,415095.81401728623
1998-04-01,0.0020305949728935957,415939.5618556385
1998-05-01,0.0020305949728935957,416785.0247448072
1998-06-01,0.0020305949728935957,417632.20617090416
1998-07-01,0.0011055206414312124,418094.1624994316
1998-08-01,0.0011055206414312124,418556.62981261563
1998-09-01,0.0011055206414312124,419019.60867567273
1998-10-01,0.0022080184426158667,419945.833884312
1998-11-01,0.0022080184426158667,420874.1064747906
1998-12-01,0.0022080184426158667,421804.4309727599
1999-01-01,0.002210003323853016,422737.650997074
1999-02-01,0.002210003323853016,423672.93572140025
1999-03-01,0.002210003323853016,424610.2897137785
1999-04-01,0.0016043115174397826,425292.0436185848
1999-05-01,0.0016043115174397826,425974.8921468564
1999-06-01,0.0016043115174397826,426658.83705611975
1999-07-01,0.010562638752162457,431189.36526652524
1999-08-01,0.003637884743511677,432760.83916735684
1999-09-01,0.0019622910767793655,433610.87563716277
1999-10-01,0.003608805127441883,435178.51974818227
1999-11-01,0.007079274859279394,438270.19861265825
1999-12-01,0.003608805127441883,439854.6876891393
2000-01-01,0.004109601024538279,441666.03437111276
2000-02-01,0.004109601024538279,443484.84028199554
2000-03-01,0.004109601024538279,445311.13613931753
2000-04-01,0.0024541637394577265,446405.3447167203
