Date,^FTSE
1991-01-01,2106.636385830966
1991-02-01,2278.359973144531
1991-03-01,2449.7800048828126
1991-04-01,2514.171456473214
1991-05-01,2493.319022042411
1991-06-01,2495.135009765625
1991-07-01,2529.995450106534
1991-08-01,2600.499976748512
1991-09-01,2622.1619233630954
1991-10-01,2580.860892917799
1991-11-01,2505.0904831659227
1991-12-01,2410.495007324219
1992-01-01,2520.186356977983
1992-02-01,2543.3099975585938
1992-03-01,2495.2363503196025
1992-04-01,2549.4449951171873
1992-05-01,2702.336849814967
1992-06-01,2604.436379172585
1992-07-01,2443.2521654211955
1992-08-01,2344.105029296875
1992-09-01,2452.40907981179
1992-10-01,2587.090909090909
1992-11-01,2711.4750122070313
1992-12-01,2778.0047549293154
1993-01-01,2790.289990234375
1993-02-01,2840.1699829101562
1993-03-01,2897.0652173913045
1993-04-01,2837.4500244140627
1993-05-01,2830.126336348684
1993-06-01,2874.6954345703125
1993-07-01,2850.7318115234375
1993-08-01,3019.2762160528273
1993-09-01,3028.122736150568
1993-10-01,3125.0619187127977
1993-11-01,3111.5863813920455
1993-12-01,3313.6809430803573
1994-01-01,3431.2900146484376
1994-02-01,3396.4
1994-03-01,3206.1173573369565
1994-04-01,3130.9368446751646
1994-05-01,3089.2300048828124
1994-06-01,2980.340897993608
1994-07-01,3036.566650390625
1994-08-01,3178.495461203835
1994-09-01,3098.340909090909
1994-10-01,3046.7666596912204
1994-11-01,3086.854558771307
1994-12-01,3026.620007324219
1995-01-01,3028.271414620536
1995-02-01,3051.675
1995-03-01,3078.2391304347825
1995-04-01,3198.3777669270835
1995-05-01,3288.314278738839
1995-06-01,3351.5500155362215
1995-07-01,3426.4952334449404
1995-08-01,3486.9545343572445
1995-09-01,3534.271414620536
1995-10-01,3531.8000155362215
1995-11-01,3580.313631924716
1995-12-01,3650.04736328125
1996-01-01,3715.7636385830965
1996-02-01,3738.076218377976
1996-03-01,3697.5
1996-04-01,3792.3150146484377
1996-05-01,3758.4095168340773
1996-06-01,3734.0199951171876
1996-07-01,3707.2087083899455
1996-08-01,3841.752371651786
1996-09-01,3927.0952264694943
1996-10-01,4020.986965013587
1996-11-01,3969.5428641183034
1996-12-01,4038.885009765625
1997-01-01,4166.4954390092325
1997-02-01,4316.56494140625
1997-03-01,4349.7789113898025
1997-04-01,4312.509166370739
1997-05-01,4622.614965820312
1997-06-01,4649.395228794643
1997-07-01,4842.847826086957
1997-08-01,4945.554956054688
1997-09-01,5010.354580965909
1997-10-01,5145.130413552989
1997-11-01,4846.23994140625
1997-12-01,5087.5380626860115
1998-01-01,5242.09521484375
1998-02-01,5657.724926757813
1998-03-01,5861.799982244318
1998-04-01,5974.5150390625
1998-05-01,5936.721037212171
1998-06-01,5847.054509943182
1998-07-01,5987.204398777174
1998-08-01,5555.77001953125
1998-09-01,5171.927312677557
1998-10-01,5063.850008877841
1998-11-01,5595.580915178572
1998-12-01,5686.260034179688
1999-01-01,5975.8400390625
1999-02-01,6010.785009765625
1999-03-01,6168.560865319293
1999-04-01,6459.865014648438
1999-05-01,6322.036852384868
1999-06-01,6425.836359197443
1999-07-01,6422.836337002841
1999-08-01,6210.923781622024
1999-09-01,6116.940962357955
1999-10-01,6071.209519159226
1999-11-01,6487.499955610795
1999-12-01,6719.82001953125
2000-01-01,6471.605004882813
2000-02-01,6178.509509858631
2000-03-01,6541.465247112772
2000-04-01,6312.711100260417
2000-05-01,6210.257114955357
2000-06-01,6455.072687322443
2000-07-01,6433.319056919643
2000-08-01,6480.018199573864
2000-09-01,6462.633393787202
2000-10-01,6293.609064275568
2000-11-01,6360.831809303977
2000-12-01,6243.1368215460525
2001-01-01,6193.47725053267
2001-02-01,6118.419995117188
2001-03-01,5713.409090909091
2001-04-01,5767.899979440789
2001-05-01,5877.361886160715
2001-06-01,5753.071451822917
2001-07-01,5462.427312677557
2001-08-01,5444.368186257102
2001-09-01,4887.19501953125
2001-10-01,5060.030443274457
2001-11-01,5242.327325994318
2001-12-01,5181.273694490132
2002-01-01,5190.854536576705
2002-02-01,5126.8099609375
2002-03-01,5252.405004882812
2002-04-01,5206.328566778274
2002-05-01,5167.790926846591
2002-06-01,4732.361083984375
2002-07-01,4238.095650050951
2002-08-01,4255.814267113095
2002-09-01,3956.7238188244046
2002-10-01,3968.926067849864
2002-11-01,4102.08576311384
2002-12-01,3948.999963378906
2003-01-01,3786.8272816051135
2003-02-01,3643.910009765625
2003-03-01,3637.9095400855654
2003-04-01,3862.949987792969
2003-05-01,3988.414990234375
2003-06-01,4119.6999744233635
2003-07-01,4079.1087274966035
2003-08-01,4179.699975585938
2003-09-01,4234.9636785333805
2003-10-01,4290.430451766304
2003-11-01,4349.444970703125
2003-12-01,4392.333310081845
2004-01-01,4470.776204427083
2004-02-01,4443.135009765625
2004-03-01,4446.713039232337
2004-04-01,4515.52001953125
2004-05-01,4453.078947368421
2004-06-01,4478.331853693182
2004-07-01,4362.700017755682
2004-08-01,4382.647646949405
2004-09-01,4560.745427911932
2004-10-01,4645.185709635417
2004-11-01,4744.163596413352
2004-12-01,4746.376185825893
2005-01-01,4826.489965820312
2005-02-01,4999.009985351562
2005-03-01,4961.847609747024
2005-04-01,4887.823823474702
2005-05-01,4928.9249267578125
2005-06-01,5050.304532137784
2005-07-01,5228.052408854167
2005-08-01,5311.018177379261
2005-09-01,5392.568181818182
2005-10-01,5292.938081287202
2005-11-01,5458.190895774148
2005-12-01,5547.244946289063
2006-01-01,5711.1523670014885
2006-02-01,5806.739965820312
2006-03-01,5938.8173828125
