variable,importance
CPI,0.46619245
US imports,0.28342268
PPI,0.25038484
Eff. Exchange Rate,0.0
SSEC,0.0
Exchange,0.0
Uncertainty,0.0
Total_reserves,0.0
Imports,0.0
Exports,0.0
