DATE,MGDP_logdiff_pred,MGDP_level_pred
1994-01-01,0.027830250561237335,937510000000.0
1994-02-01,-0.0013332368107512593,936260910008.9542
1994-03-01,-0.029738502576947212,908827843422.7794
1994-04-01,0.06754542142152786,972335691525.1045
1994-05-01,0.06754542142152786,1040281395267.2812
1994-06-01,0.06754542142152786,1112975066915.2524
1994-07-01,0.039719417691230774,1158071461098.933
1994-08-01,0.0780707523226738,1252105883218.8186
1994-09-01,-0.0037400599103420973,1247431678552.8125
1994-10-01,0.006068991497159004,1255025350460.4438
1994-11-01,0.1353718340396881,1436956889055.377
1994-12-01,0.006068991497159004,1445704285284.3682
1995-01-01,1.7865126132965088,8628832489066.57
1995-02-01,-0.08558472245931625,7921055667729.799
1995-03-01,-1.909009337425232,1174115561911.7058
1995-04-01,0.047340840101242065,1231035876537.5667
1995-05-01,0.09305109083652496,1351083795480.1897
1995-06-01,0.047340840101242065,1416583408311.6716
1995-07-01,0.035135556012392044,1467240576607.915
1995-08-01,0.06906091421842575,1572150444708.2993
1995-09-01,-0.003308434272184968,1566957682987.9666
1995-10-01,0.06903234124183655,1678949498190.2112
1995-11-01,0.06903234124183655,1798945464881.9697
1995-12-01,-0.005728002171963453,1788670556793.1104
1996-01-01,1.9935158491134644,13131165982726.684
1996-02-01,-0.09550143033266068,11935140800388.451
1996-03-01,-2.130206346511841,1418047195181.7852
1996-04-01,0.061658233404159546,1508233266877.0889
1996-05-01,0.061658233404159546,1604155062711.523
1996-06-01,0.03559841588139534,1662289041501.8584
1996-07-01,0.04181200638413429,1733266189861.7773
1996-08-01,0.04181200638413429,1807273951709.2004
1996-09-01,-0.002003047149628401,1803657519922.4758
1996-10-01,0.06930646300315857,1933096307478.9133
1996-11-01,0.07865001261234283,2091273131615.4429
1996-12-01,-0.0065260352566838264,2077669845468.9805
1997-01-01,-0.16355480253696442,1764190943969.3752
1997-02-01,0.007835260592401028,1778068134457.1763
1997-03-01,-0.09442844986915588,1617851456126.1433
1997-04-01,0.06852798908948898,1732606628846.6768
1997-05-01,0.03486442193388939,1794078318272.0583
1997-06-01,0.03486442193388939,1857730980884.254
1997-07-01,0.033435117453336716,1920894489964.387
1997-08-01,0.017010511830449104,1953849383573.1003
1997-09-01,0.017010511830449104,1987369651812.4534
1997-10-01,0.043540190905332565,2075811522295.7935
1997-11-01,0.043540190905332565,2168189230506.8853
1997-12-01,0.043540190905332565,2264677928989.818
1998-01-01,2.571457624435425,29633046623376.715
1998-02-01,-5.400908946990967,133718455408.2095
1998-03-01,2.571457624435425,1749690396499.2932
1998-04-01,0.039119184017181396,1819493271401.1438
1998-05-01,0.039119184017181396,1892080891166.6067
1998-06-01,0.039119184017181396,1967564351563.103
1998-07-01,0.036905914545059204,2041535707814.9436
1998-08-01,-0.00347513472661376,2034453409279.3696
1998-09-01,0.036905914545059204,2110939485984.3171
1998-10-01,0.0470164492726326,2212558529774.596
1998-11-01,0.0470164492726326,2319069438125.377
1998-12-01,0.0470164492726326,2430707701728.0273
1999-01-01,-0.12669092416763306,2141467894850.812
1999-02-01,0.011929471045732498,2167167460429.9421
1999-03-01,-0.14377076923847198,1876953958253.9326
1999-04-01,0.04300512373447418,1959433403501.894
1999-05-01,0.021879365667700768,2002776999574.0452
1999-06-01,0.04300512373447418,2090785517392.944
1999-07-01,0.036982934921979904,2169556515501.0398
1999-08-01,0.032589394599199295,2241425776007.0
1999-09-01,-0.003068682737648487,2234558094178.091
1999-10-01,0.04753509908914566,2343343104409.7754
1999-11-01,0.04753509908914566,2457424096196.8022
1999-12-01,0.04753509908914566,2577058893853.1533
2000-01-01,-0.43643882870674133,1665640870115.876
2000-02-01,-0.019566429778933525,1633366996882.4717
2000-03-01,0.235809326171875,2067733030364.4058
2000-04-01,0.03019770234823227,2131126163145.1929
2000-05-01,0.05935528501868248,2261449185062.384
2000-06-01,0.03019770234823227,2330781321445.7725
2000-07-01,0.03521638363599777,2414325437390.3477
2000-08-01,0.03521638363599777,2500864093940.144
2000-09-01,-0.0033160450402647257,2492584850723.4126
2000-10-01,0.06223313882946968,2652634782292.7383
2000-11-01,-0.005859996657818556,2637135807656.181
2000-12-01,0.07062309980392456,2830112622123.347
2001-01-01,-0.058564066886901855,2669129634762.8223
2001-02-01,-0.07519799470901489,2475777393462.316
2001-03-01,-0.058564066886901855,2334949767832.283
2001-04-01,-0.0047994316555559635,2323770185283.314
2001-05-01,0.057841453701257706,2462143717208.8647
2001-06-01,0.050969939678907394,2590892315946.755
2001-07-01,0.06747188419103622,2771737068234.0806
2001-08-01,0.13261979818344116,3164813165078.3467
2001-09-01,-0.1417132019996643,2746646794687.4834
2001-10-01,0.03450198471546173,2843065311083.849
2001-11-01,0.03915337100625038,2956588813784.4316
2001-12-01,0.03915337100625038,3074645306147.674
2002-01-01,-0.1225724071264267,2719959906344.533
2002-02-01,0.005871957167983055,2735978378277.539
2002-03-01,-0.07076724618673325,2549052829775.6587
2002-04-01,0.05185158923268318,2684711947542.701
2002-05-01,0.026380108669400215,2756477368457.433
2002-06-01,0.026380108669400215,2830161161152.714
2002-07-01,0.025768373161554337,2904037559523.2715
2002-08-01,0.04463211074471474,3036586860289.1836
2002-09-01,-0.0021381471306085587,3030101127003.9067
2002-10-01,-0.013021606020629406,2990900127824.6763
2002-11-01,0.13828939199447632,3434473985530.4717
2002-12-01,-0.013021606020629406,3390041537158.3633
2003-01-01,0.0184611938893795,3453207012339.268
2003-02-01,0.0184611938893795,3517549428041.726
2003-03-01,-0.1960577815771103,2891301597142.6694
