variable,importance
R_Csump,0.20293503
^GSPC,0.10412851
All_Emp,0.09092058
Ef_Fed_Rate,0.08359778
Moody_aaa,0.07184343
Ids_Prd,0.06746839
M2,0.06383289
Unemp,0.057316944
Labor_partic,0.05547231
NetExports,0.05119388
M1,0.04227973
CPI,0.03785384
working_hour_manuf,0.027619934
Intr_10Y,0.02206075
Per_savings,0.02147597
