Date,^GDAXI
1991-01-01,1373.6118219549005
1991-02-01,1510.7430053710937
1991-03-01,1545.8344970703124
1991-04-01,1591.4033377511162
1991-05-01,1633.6863114206415
1991-06-01,1693.157489013672
1991-07-01,1624.096095872962
1991-08-01,1624.8313709605825
1991-09-01,1630.8995419456846
1991-10-01,1580.4222689541903
1991-11-01,1596.2489929199219
1991-12-01,1555.5811225043403
1992-01-01,1647.63408314098
1992-02-01,1700.2565063476563
1992-03-01,1733.2536454634233
1992-04-01,1733.809503173828
1992-05-01,1764.5252685546875
1992-06-01,1777.2519836425781
1992-07-01,1696.0895624575408
1992-08-01,1548.0195138113838
1992-09-01,1539.6218095259233
1992-10-01,1475.6581809303977
1992-11-01,1518.6109924316406
1992-12-01,1511.0125
1993-01-01,1555.7760131835937
1993-02-01,1647.3575012207032
1993-03-01,1687.159126613451
1993-04-01,1659.5900085449218
1993-05-01,1621.9452611019738
1993-06-01,1677.9019019717261
1993-07-01,1796.646356756037
1993-08-01,1896.3713600852273
1993-09-01,1895.5113747336648
1993-10-01,2017.2623697916667
1993-11-01,2046.8309442429315
1993-12-01,2170.3600027901784
1994-01-01,2165.3438546316966
1994-02-01,2123.696496582031
1994-03-01,2128.895645805027
1994-04-01,2212.9136770148025
1994-05-01,2217.5290283203126
1994-06-01,2065.892851329985
1994-07-01,2094.3504754929318
1994-08-01,2165.2169773267665
1994-09-01,2112.4818281693892
1994-10-01,2039.1290100097656
1994-11-01,2069.2195347377233
1994-12-01,2063.1366606212796
1995-01-01,2054.9081753817472
1995-02-01,2101.859521484375
1995-03-01,1995.919974949049
1995-04-01,1981.1883205837673
1995-05-01,2071.6956961495534
1995-06-01,2128.52548828125
1995-07-01,2186.1042829241073
1995-08-01,2242.568263841712
1995-09-01,2257.492385137649
1995-10-01,2163.531935918899
1995-11-01,2200.402266068892
1995-12-01,2270.3426320929275
1996-01-01,2380.3390780362215
1996-02-01,2433.9195498511904
1996-03-01,2474.3376348586307
1996-04-01,2521.8375244140625
1996-05-01,2517.203015136719
1996-06-01,2555.4142038445725
1996-07-01,2519.4887058423915
1996-08-01,2542.914073597301
1996-09-01,2600.6714215959823
1996-10-01,2695.672274502841
1996-11-01,2763.8114420572915
1996-12-01,2851.6683349609375
1997-01-01,2965.627286044034
1997-02-01,3196.0460205078125
1997-03-01,3357.8994911595396
1997-04-01,3337.296375621449
1997-05-01,3580.224725020559
1997-06-01,3727.8138253348216
1997-07-01,4161.707413383152
1997-08-01,4191.352376302083
1997-09-01,4044.6727183948865
1997-10-01,4078.9749644886365
1997-11-01,3824.8549682617186
1997-12-01,4133.676847759046
1998-01-01,4284.106189546131
1998-02-01,4575.527514648437
1998-03-01,4915.27685546875
1998-04-01,5254.515478515625
1998-05-01,5403.8942228618425
1998-06-01,5726.963525390625
1998-07-01,6003.131305197011
1998-08-01,5388.928524925595
1998-09-01,4747.751353870739
1998-10-01,4345.5332364169035
1998-11-01,4833.552339099702
1998-12-01,4770.49951171875
1999-01-01,5140.372998046875
1999-02-01,4960.824487304688
1999-03-01,4878.616550611413
1999-04-01,5183.967016601562
1999-05-01,5217.082673725329
1999-06-01,5293.569963727678
1999-07-01,5461.107288707386
1999-08-01,5203.999134410511
1999-09-01,5309.290460759943
1999-10-01,5320.763299851191
1999-11-01,5786.716375177557
1999-12-01,6354.989560081845
2000-01-01,6915.297177269345
2000-02-01,7524.347516741072
2000-03-01,7812.148267663043
2000-04-01,7354.530056423611
2000-05-01,7180.694491299716
2000-06-01,7184.130415482955
2000-07-01,7192.507626488095
2000-08-01,7221.729152513587
2000-09-01,7027.639508928572
2000-10-01,6721.190476190476
2000-11-01,6814.955433238636
2000-12-01,6477.845240542763
2001-01-01,6560.646795099432
2001-02-01,6462.667504882813
2001-03-01,5917.008678089489
2001-04-01,5963.021021792763
2001-05-01,6155.762273615057
2001-06-01,6025.6352306547615
2001-07-01,5840.614013671875
2001-08-01,5438.160389775815
2001-09-01,4372.371997070312
2001-10-01,4577.537364130435
2001-11-01,4949.808660333807
2001-12-01,5074.550608915441
2002-01-01,5151.290926846591
2002-02-01,4894.53603515625
2002-03-01,5323.398486328125
2002-04-01,5199.655226934524
2002-05-01,4939.6318359375
2002-06-01,4427.917529296875
2002-07-01,4002.0921577785325
2002-08-01,3687.1658935546875
