DATE,price_comp
3/1/18,98.3
4/1/18,98.4
5/1/18,97.8
6/1/18,97.5
7/1/18,97.4
8/1/18,97.2
9/1/18,97.7
10/1/18,97.3
11/1/18,97.3
12/1/18,97.1
1/1/19,96.7
2/1/19,96.6
3/1/19,96.2
4/1/19,96.5
5/1/19,96.7
6/1/19,96.8
7/1/19,96.7
8/1/19,96.4
9/1/19,96.2
10/1/19,96.2
11/1/19,96
12/1/19,95.9
1/1/20,95.8
2/1/20,95.5
3/1/20,96.4
4/1/20,96.2
5/1/20,96.3
6/1/20,97
7/1/20,96.1
8/1/20,97
9/1/20,96.8
10/1/20,96.6
11/1/20,96.5
12/1/20,96.9
1/1/21,97.9
2/1/21,98.1
3/1/21,97.7
4/1/21,97.9
5/1/21,98.1
6/1/21,97.9
7/1/21,97.8
8/1/21,97.4
9/1/21,97.3
10/1/21,96.7
11/1/21,96.1
12/1/21,95.8
1/1/22,96
2/1/22,96.2
3/1/22,96.3
4/1/22,96.1
5/1/22,96.6
6/1/22,95.7
7/1/22,94.8
8/1/22,94.5
9/1/22,95.9
10/1/22,96
11/1/22,97
12/1/22,96.2
1/1/23,97.5
2/1/23,97.7
3/1/23,98
4/1/23,98.6
5/1/23,98.1
6/1/23,98.2
7/1/23,98.4
8/1/23,98.3
9/1/23,98
10/1/23,97.7
11/1/23,98.1
12/1/23,97.6
1/1/24,97.8
2/1/24,97.7
3/1/24,98.1
4/1/24,98.3
5/1/24,98.5
6/1/24,98.1
7/1/24,98.4
8/1/24,98.2
9/1/24,98.2
10/1/24,98.1
11/1/24,97.4
12/1/24,97.2
