variable,importance
Exports,0.2088477
Prod_Vol,0.15675713
Manuf,0.100593835
CPI,0.09073925
Unemp,0.069878995
Retail,0.067758456
^GDAXI,0.0647297
price_comp,0.060069077
Total Reserves,0.054767404
Uncertainty,0.049250625
Imports,0.039184228
Eff_Ex_Rate,0.037423626
