DATE,MGDP_logdiff_pred
1991-01-01,
1991-02-01,0.002365273656323552
1991-03-01,0.00211498886346817
1991-04-01,3.1264833523891866e-05
1991-05-01,4.1091061575571075e-05
1991-06-01,-0.004461832344532013
1991-07-01,-0.0006150089902803302
1991-08-01,-0.0007052823784761131
1991-09-01,-0.0005261501064524055
1991-10-01,0.007527116220444441
1991-11-01,0.003022223012521863
1991-12-01,0.0034271383192390203
1992-01-01,0.0059282113797962666
1992-02-01,0.00527352886274457
1992-03-01,0.002823645481839776
1992-04-01,-0.0022582204546779394
1992-05-01,-0.0020298699382692575
1992-06-01,-0.0018129628151655197
1992-07-01,-0.0008077178499661386
1992-08-01,-0.0006025714101269841
1992-09-01,-0.001235686126165092
1992-10-01,-0.0015639563789591193
1992-11-01,-0.0005994095699861646
1992-12-01,-0.000769331818446517
1993-01-01,-0.0039282976649701595
1993-02-01,-0.0016029153484851122
1993-03-01,-0.0023322030901908875
1993-04-01,0.00010532878513913602
1993-05-01,0.0002259672764921561
1993-06-01,9.144356590695679e-05
1993-07-01,0.0011101077543571591
1993-08-01,0.0032598483376204967
1993-09-01,0.0012504557380452752
1993-10-01,-0.000207232209504582
1993-11-01,-0.0002758685441222042
1993-12-01,-0.00021767769067082554
1994-01-01,0.004933627787977457
1994-02-01,0.004098925739526749
1994-03-01,0.004788273014128208
1994-04-01,0.0014020262751728296
1994-05-01,0.0014583151787519455
1994-06-01,0.002931236522272229
1994-07-01,0.001911978586576879
1994-08-01,0.0017199369613081217
1994-09-01,0.0021261265501379967
1994-10-01,0.005807266570627689
1994-11-01,0.0030856283847242594
1994-12-01,0.002254683058708906
1995-01-01,-0.001073520164936781
1995-02-01,-0.0019921117927879095
1995-03-01,-0.0009647115948610008
1995-04-01,0.002754160901531577
1995-05-01,0.0024789420422166586
1995-06-01,0.00287840748205781
1995-07-01,0.0004181827243883163
1995-08-01,0.0005090190097689629
1995-09-01,0.0008215615525841713
1995-10-01,0.0001152968397946097
1995-11-01,0.0001621786068426445
1995-12-01,0.0001255807583220303
1996-01-01,-0.0016467308159917593
1996-02-01,-0.003597536589950323
1996-03-01,-0.0018335174536332488
1996-04-01,0.0028383571188896894
1996-05-01,0.008034068159759045
1996-06-01,0.0029670828953385353
1996-07-01,-0.003987572621554136
1996-08-01,0.015089407563209534
1996-09-01,-0.007638317067176104
1996-10-01,0.002396714175119996
1996-11-01,0.004662246443331242
1996-12-01,0.0019429107196629047
1997-01-01,-0.001440312946215272
1997-02-01,-0.0019131117733195424
1997-03-01,-0.0014014729531481862
1997-04-01,0.003992099314928055
1997-05-01,0.0034074217546731234
1997-06-01,0.003792934585362673
1997-07-01,0.0009844949236139655
1997-08-01,0.0011736000888049603
1997-09-01,0.0013710862258449197
1997-10-01,0.003129140706732869
1997-11-01,0.0014817527262493968
1997-12-01,0.0027988890651613474
1998-01-01,0.0020605192985385656
1998-02-01,0.0019461410120129585
1998-03-01,0.005789050366729498
1998-04-01,-0.0014323975192382932
1998-05-01,-0.0018285351106896996
1998-06-01,-0.0013669129693880677
1998-07-01,0.0022744385059922934
1998-08-01,0.0008188898209482431
1998-09-01,0.001534517272375524
1998-10-01,-7.08118750480935e-05
1998-11-01,-8.630806405562907e-05
1998-12-01,-9.944096382241696e-05
1999-01-01,-0.03670264407992363
1999-02-01,0.02070542238652706
1999-03-01,0.02779417298734188
1999-04-01,-0.000352463306626305
1999-05-01,-0.0004152260662522167
1999-06-01,-0.0005010380991734564
1999-07-01,0.004679231904447079
1999-08-01,0.004122505430132151
1999-09-01,0.004565395414829254
1999-10-01,0.002109664725139737
1999-11-01,0.0014826229307800531
1999-12-01,0.0011565852910280228
2000-01-01,0.0027234642766416073
2000-02-01,0.009361807256937027
2000-03-01,0.003592665772885084
2000-04-01,0.001504549290984869
2000-05-01,0.004604687914252281
2000-06-01,0.0015928912907838821
2000-07-01,0.0002142858284059912
2000-08-01,0.00021528669458348304
2000-09-01,0.00017929033492691815
2000-10-01,-0.001084876828826964
2000-11-01,-0.0021027594339102507
2000-12-01,-0.0010815408313646913
2001-01-01,0.00464660907164216
2001-02-01,0.011444604024291039
2001-03-01,0.005223916843533516
2001-04-01,-0.0008720014011487365
2001-05-01,-0.0009799684630706906
2001-06-01,-0.001023877295665443
2001-07-01,1.0120123988599516e-05
2001-08-01,-0.00014666486822534353
2001-09-01,1.6449243048555218e-05
2001-10-01,-0.0010235455119982362
2001-11-01,-0.0007770174415782094
2001-12-01,-0.0012045471230521798
2002-01-01,-0.0016649554017931223
2002-02-01,-0.0014315881999209523
2002-03-01,-0.001155554666183889
2002-04-01,0.001101045636460185
2002-05-01,0.000624238105956465
2002-06-01,0.0017744535580277443
2002-07-01,0.0012554482091218233
2002-08-01,0.0031856936402618885
2002-09-01,0.0024019123520702124
2002-10-01,-0.0006678501376882195
2002-11-01,-0.0012827692553400993
2002-12-01,-0.000685007544234395
2003-01-01,-0.004589773714542389
2003-02-01,-0.005233150906860828
2003-03-01,-0.003703929716721177
2003-04-01,0.00043851937516592443
2003-05-01,0.0003933831467293203
2003-06-01,0.00038336365832947195
2003-07-01,0.002112728776410222
2003-08-01,0.0026244125328958035
2003-09-01,0.004330170340836048
2003-10-01,0.00021278417261783034
2003-11-01,0.0005826693959534168
2003-12-01,0.00040738802636042237
2004-01-01,-0.00028245634166523814
2004-02-01,-0.00039902026765048504
2004-03-01,-0.0005513106589205563
2004-04-01,0.0022719118278473616
2004-05-01,0.002204260556027293
2004-06-01,0.0011644044425338507
2004-07-01,-0.0014253637054935098
